year,model,n_train,n_test,accuracy,precision,recall,f1
2018,always_up,706,251,0.5298804780876494,0.5298804780876494,1.0,0.6927083333333334
2018,persistence,706,251,0.5298804780876494,0.556390977443609,0.556390977443609,0.556390977443609
2018,logreg,706,251,0.4860557768924303,0.5111111111111111,0.6917293233082706,0.5878594249201278
2018,gbm,706,251,0.4940239043824701,0.5182926829268293,0.6390977443609023,0.5723905723905723
2019,always_up,957,252,0.5952380952380952,0.5952380952380952,1.0,0.746268656716418
2019,persistence,957,252,0.5476190476190477,0.62,0.62,0.62
2019,logreg,957,252,0.5079365079365079,0.5802469135802469,0.6266666666666667,0.6025641025641025
2019,gbm,957,252,0.5198412698412699,0.5911949685534591,0.6266666666666667,0.6084142394822006
2020,always_up,1209,253,0.5731225296442688,0.5731225296442688,1.0,0.7286432160804021
2020,persistence,1209,253,0.4268774703557312,0.5,0.503448275862069,0.5017182130584192
2020,logreg,1209,253,0.5573122529644269,0.5882352941176471,0.7586206896551724,0.6626506024096386
2020,gbm,1209,253,0.5573122529644269,0.610738255033557,0.6275862068965518,0.6190476190476191
2021,always_up,1462,252,0.5833333333333334,0.5833333333333334,1.0,0.7368421052631579
2021,persistence,1462,252,0.49603174603174605,0.5684931506849316,0.564625850340136,0.5665529010238908
2021,logreg,1462,252,0.5674603174603174,0.5785123966942148,0.9523809523809523,0.7197943444730077
2021,gbm,1462,252,0.5873015873015873,0.5955555555555555,0.9115646258503401,0.7204301075268817
2022,always_up,1714,251,0.4302788844621514,0.4302788844621514,1.0,0.6016713091922006
2022,persistence,1714,251,0.5099601593625498,0.43119266055045874,0.4351851851851852,0.43317972350230416
2022,logreg,1714,251,0.44621513944223107,0.4298642533936652,0.8796296296296297,0.5775075987841946
2022,gbm,1714,251,0.44621513944223107,0.42857142857142855,0.8611111111111112,0.5723076923076923
2023,always_up,1965,250,0.56,0.56,1.0,0.717948717948718
2023,persistence,1965,250,0.496,0.55,0.55,0.55
2023,logreg,1965,250,0.52,0.545045045045045,0.8642857142857143,0.6685082872928176
2023,gbm,1965,250,0.54,0.5536480686695279,0.9214285714285714,0.6916890080428955
2024,always_up,2215,252,0.5873015873015873,0.5873015873015873,1.0,0.74
2024,persistence,2215,252,0.5396825396825397,0.6081081081081081,0.6081081081081081,0.6081081081081081
2024,logreg,2215,252,0.5714285714285714,0.5813008130081301,0.9662162162162162,0.7258883248730964
2024,gbm,2215,252,0.5753968253968254,0.5864978902953587,0.9391891891891891,0.7220779220779221
2025,always_up,2467,164,0.5670731707317073,0.5670731707317073,1.0,0.7237354085603113
2025,persistence,2467,164,0.4634146341463415,0.5268817204301075,0.5268817204301075,0.5268817204301075
2025,logreg,2467,164,0.5426829268292683,0.5584415584415584,0.9247311827956989,0.6963562753036437
2025,gbm,2467,164,0.5487804878048781,0.5673758865248227,0.8602150537634409,0.6837606837606838
